name,brand,category,sp,mrp,discount,type,weight,weightUnitType,description,productImageUrl,largeImageUrl
Bianca Satin Floral 3 Pcs Cushion Cover Set (Multi) C_CUS236A_CUS236A_CUS236A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423777.jpg?ts=1590068901,https://cdn.grofers.com/app/images/products/full_screen/pro_423777.jpg?ts=1590068901
Bianca Satin Floral 3 Pcs Cushion Cover Set (Multi) C_CUS237A_CUS235A_CUS242A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423784.jpg?ts=1590068951,https://cdn.grofers.com/app/images/products/full_screen/pro_423784.jpg?ts=1590068951
Bianca Satin Floral 3 Pcs Cushion Cover Set (Multi) C_CUS239A_CUS239A_CUS239A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423779.jpg?ts=1590068951,https://cdn.grofers.com/app/images/products/full_screen/pro_423779.jpg?ts=1590068951
Bianca Satin Floral 3 Pcs Cushion Cover Set (Multi) C_CUS240A_CUS234A_CUS236A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423785.jpg?ts=1590068951,https://cdn.grofers.com/app/images/products/full_screen/pro_423785.jpg?ts=1590068951
Bianca Satin Floral 3 Pcs Cushion Cover Set (Pink & Black) C_CUS234A_CUS234A_CUS234A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423775.jpg?ts=1590068901,https://cdn.grofers.com/app/images/products/full_screen/pro_423775.jpg?ts=1590068901
Bianca Satin Floral 3 Pcs Cushion Cover Set (Yellow & Green) C_CUS242A_CUS242A_CUS242A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423781.jpg?ts=1590068951,https://cdn.grofers.com/app/images/products/full_screen/pro_423781.jpg?ts=1590068951
Bianca Satin Printed 3 Pcs Cushion Cover Set (Multi) C_CUS233A_CUS233A_CUS233A,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423774.jpg?ts=1590068901,https://cdn.grofers.com/app/images/products/full_screen/pro_423774.jpg?ts=1590068901
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Beige & Pink) C_CUS231_CUS231_CUS231,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423768.jpg?ts=1593685938,https://cdn.grofers.com/app/images/products/full_screen/pro_423768.jpg?ts=1593685938
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Blue) C_CUS221_CUS221_CUS221,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423758.jpg?ts=1590068834,https://cdn.grofers.com/app/images/products/full_screen/pro_423758.jpg?ts=1590068834
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Ivory & Multi) C_CUS230_CUS230_CUS230,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423767.jpg?ts=1593685938,https://cdn.grofers.com/app/images/products/full_screen/pro_423767.jpg?ts=1593685938
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Ivory) C_CUS229_CUS229_CUS229,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423766.jpg?ts=1593685938,https://cdn.grofers.com/app/images/products/full_screen/pro_423766.jpg?ts=1593685938
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Multi) C_CUS222_CUS221_CUS220,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423772.jpg?ts=1590068901,https://cdn.grofers.com/app/images/products/full_screen/pro_423772.jpg?ts=1590068901
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Multi) C_CUS225_CUS223_CUS224,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423771.jpg?ts=1590068900,https://cdn.grofers.com/app/images/products/full_screen/pro_423771.jpg?ts=1590068900
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Multi) C_CUS228_CUS227_CUS226,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423769.jpg?ts=1593685938,https://cdn.grofers.com/app/images/products/full_screen/pro_423769.jpg?ts=1593685938
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Multi) C_CUS229_CUS231_CUS230,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423770.jpg?ts=1593685938,https://cdn.grofers.com/app/images/products/full_screen/pro_423770.jpg?ts=1593685938
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Pink & Green) C_CUS224_CUS224_CUS224,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423761.jpg?ts=1590068900,https://cdn.grofers.com/app/images/products/full_screen/pro_423761.jpg?ts=1590068900
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Red & Black) C_CUS226_CUS226_CUS226,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423763.jpg?ts=1590068900,https://cdn.grofers.com/app/images/products/full_screen/pro_423763.jpg?ts=1590068900
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Red & Black) C_CUS228_CUS228_CUS228,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423765.jpg?ts=1593685938,https://cdn.grofers.com/app/images/products/full_screen/pro_423765.jpg?ts=1593685938
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Red & Green) C_CUS223_CUS223_CUS223,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423760.jpg?ts=1590068900,https://cdn.grofers.com/app/images/products/full_screen/pro_423760.jpg?ts=1590068900
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Red & Green) C_CUS225_CUS225_CUS225,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423762.jpg?ts=1590068900,https://cdn.grofers.com/app/images/products/full_screen/pro_423762.jpg?ts=1590068900
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Red & Green) C_CUS227_CUS227_CUS227,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423764.jpg?ts=1593685937,https://cdn.grofers.com/app/images/products/full_screen/pro_423764.jpg?ts=1593685937
Bianca Velvet Animal Print 3 Pcs Cushion Cover Set (Turq) C_CUS222_CUS222_CUS222,Bianca,Home Furnishing and Decor,1197,1197,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423759.jpg?ts=1590068835,https://cdn.grofers.com/app/images/products/full_screen/pro_423759.jpg?ts=1590068835
Bianca Velvet Animal Print 5 Pcs Cushion Cover Set (Multi) C_CUS220_CUS221_CUS222_CUS223_CUS224,Bianca,Home Furnishing and Decor,1995,1995,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423788.jpg?ts=1590068997,https://cdn.grofers.com/app/images/products/full_screen/pro_423788.jpg?ts=1590068997
Bianca Velvet Animal Print 5 Pcs Cushion Cover Set (Multi) C_CUS224_CUS225_CUS229_CUS230_CUS231,Bianca,Home Furnishing and Decor,1995,1995,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423789.jpg?ts=1590068997,https://cdn.grofers.com/app/images/products/full_screen/pro_423789.jpg?ts=1590068997
Bianca Velvet Animal Print 5 Pcs Cushion Cover Set (Multi) C_CUS226_CUS227_CUS228_CUS231_CUS233A,Bianca,Home Furnishing and Decor,1995,1995,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423790.jpg?ts=1590068997,https://cdn.grofers.com/app/images/products/full_screen/pro_423790.jpg?ts=1590068997
Bianca Velvet Floral 5 Pcs Cushion Cover Set (Multi) C_CUS237A_CUS237A_CUS237A_CUS237A_CUS237A,Bianca,Home Furnishing and Decor,1995,1995,0,Cushion Cover Set,1 unit,unit,,https://cdn.grofers.com/app/images/products/normal/pro_423791.jpg?ts=1590068997,https://cdn.grofers.com/app/images/products/full_screen/pro_423791.jpg?ts=1590068997
